因子名,因子逻辑,计算公式（算子形式）,算子及口径说明
AfternoonMomentum,13:00至15:00时段最后有效收盘价相对最早有效开盘价的收益率。,"SUB(DIV(LAST_VALID(TIME_FILTER(close,13:00,15:00)),FIRST_VALID(TIME_FILTER(open,13:00,15:00))),1)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TIME_FILTER按时刻筛选且包含两端；FIRST_VALID/LAST_VALID分别取首个/末个非NaN值；整个时段无记录时该股票当日不输出行。"
Bottom20VolumeBarReturn,按成交量选取日内最小的20根K线，将对应分钟收益率复合。,"s=DROPNA(TAKE(r,BOTTOM_INDEX(volume,20))); IF(EMPTY(s),NaN,SUB(PROD(ADD(1,s)),1))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TOP_INDEX/BOTTOM_INDEX返回成交量最大/最小的N条记录索引，忽略成交量NaN，不足N条取全部，并列按时间顺序优先取前者；TAKE按索引取值；先选成交量再删除收益率NaN，不补选；EMPTY判断空集。"
Bottom50VolumeBarReturn,按成交量选取日内最小的50根K线，将对应分钟收益率复合。,"s=DROPNA(TAKE(r,BOTTOM_INDEX(volume,50))); IF(EMPTY(s),NaN,SUB(PROD(ADD(1,s)),1))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TOP_INDEX/BOTTOM_INDEX返回成交量最大/最小的N条记录索引，忽略成交量NaN，不足N条取全部，并列按时间顺序优先取前者；TAKE按索引取值；先选成交量再删除收益率NaN，不补选；EMPTY判断空集。"
ClosingAuctionVolumeRatio,14:57至15:00时段成交量占全天成交量的比例。,"T=SUM(volume); IF(EQ(T,0),NaN,DIV(SUM(TIME_FILTER(volume,14:57,15:00)),T))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TIME_FILTER包含两端，因此名称中的分钟数不代表固定记录数；有ticks参数时用ticks，否则用minutes，当前构造器使用minutes；EQ表示等于。分母为0返回NaN；窗口无记录或成交量全NaN时分子为0。"
ClosingVolumeRatio,14:30至15:00时段成交量占全天成交量的比例。,"T=SUM(volume); IF(EQ(T,0),NaN,DIV(SUM(TIME_FILTER(volume,14:30,15:00)),T))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TIME_FILTER包含两端，因此名称中的分钟数不代表固定记录数；有ticks参数时用ticks，否则用minutes，当前构造器使用minutes；EQ表示等于。分母为0返回NaN；窗口无记录或成交量全NaN时分子为0。"
DownsideVolatility,负分钟收益率的均方根。,"x=DROPNA(CLEAN(r)); s=FILTER(x,LT(x,0)); v=IF(EMPTY(s),0,SQRT(MEAN(POW(s,2)))); v","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。GT/LT/EQ为大于/小于/等于；EMPTY为空；正负收益筛选均不含0；均方根的均值分母是筛选后的记录数。没有对应符号的有效收益时分子波动率为0，即使全部收益缺失也为0；比例的分母为0或NaN时结果为NaN。"
DownsideVolatilityRatio,负分钟收益率的均方根除以全部有效分钟收益率的均方根。,"x=DROPNA(CLEAN(r)); s=FILTER(x,LT(x,0)); v=IF(EMPTY(s),0,SQRT(MEAN(POW(s,2)))); d=SQRT(MEAN(POW(x,2))); IF(EQ(d,0),NaN,DIV(v,d))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。GT/LT/EQ为大于/小于/等于；EMPTY为空；正负收益筛选均不含0；均方根的均值分母是筛选后的记录数。没有对应符号的有效收益时分子波动率为0，即使全部收益缺失也为0；比例的分母为0或NaN时结果为NaN。"
First20BarWeightedReturn,取日内前20根K线，分钟收益率乘该分钟成交量占全天成交量的比例后求均值。,"T=SUM(volume,min_count=1); s=DROPNA(HEAD(r,20)); IF(OR(EMPTY(s),ISNA(T),LE(T,0)),NaN,MEAN(MUL(s,DIV(ALIGN(volume,s),T))))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。HEAD/TAIL按位置取前/后N条，不足N条取全部；ALIGN(volume,s)按s的索引取成交量；EMPTY/ISNA/LE/OR为空/缺失/小于等于/或。分母为全天成交量，不是所选时段成交量；均值按有效乘积数量计算；求和时若乘积全NaN则为0。"
First20NegativeBarWeightedReturn,先取前20根K线，再筛选负收益并取绝对值，乘分钟成交量占全天成交量比例后求均值。,"T=SUM(volume,min_count=1); s=HEAD(r,20); s=FILTER(s,LT(s,0)); IF(OR(EMPTY(s),ISNA(T),LE(T,0)),NaN,MEAN(MUL(ABS(s),DIV(ALIGN(volume,s),T))))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。HEAD先取前20条，并非选全天前20条满足符号条件的记录；ALIGN按索引取值；LT/GT/LE为小于/大于/小于等于；EMPTY/ISNA/OR为空/缺失/或；没有符合条件的收益率返回NaN；均值只计有效乘积。"
First20PositiveBarWeightedReturn,先取前20根K线，再筛选正收益，乘分钟成交量占全天成交量比例后求均值。,"T=SUM(volume,min_count=1); s=HEAD(r,20); s=FILTER(s,GT(s,0)); IF(OR(EMPTY(s),ISNA(T),LE(T,0)),NaN,MEAN(MUL(s,DIV(ALIGN(volume,s),T))))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。HEAD先取前20条，并非选全天前20条满足符号条件的记录；ALIGN按索引取值；LT/GT/LE为小于/大于/小于等于；EMPTY/ISNA/OR为空/缺失/或；没有符合条件的收益率返回NaN；均值只计有效乘积。"
First50BarWeightedReturn,取日内前50根K线，分钟收益率乘该分钟成交量占全天成交量的比例后求均值。,"T=SUM(volume,min_count=1); s=DROPNA(HEAD(r,50)); IF(OR(EMPTY(s),ISNA(T),LE(T,0)),NaN,MEAN(MUL(s,DIV(ALIGN(volume,s),T))))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。HEAD/TAIL按位置取前/后N条，不足N条取全部；ALIGN(volume,s)按s的索引取成交量；EMPTY/ISNA/LE/OR为空/缺失/小于等于/或。分母为全天成交量，不是所选时段成交量；均值按有效乘积数量计算；求和时若乘积全NaN则为0。"
Last20BarWeightedReturn,取日内后20根K线，分钟收益率乘该分钟成交量占全天成交量的比例后求和。,"T=SUM(volume,min_count=1); s=DROPNA(TAIL(r,20)); IF(OR(EMPTY(s),ISNA(T),LE(T,0)),NaN,SUM(MUL(s,DIV(ALIGN(volume,s),T))))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。HEAD/TAIL按位置取前/后N条，不足N条取全部；ALIGN(volume,s)按s的索引取成交量；EMPTY/ISNA/LE/OR为空/缺失/小于等于/或。分母为全天成交量，不是所选时段成交量；均值按有效乘积数量计算；求和时若乘积全NaN则为0。"
Last30mMomentum,14:30至15:00时段收益率；提供涨跌停价格时，期间任一收盘价等于涨停价或跌停价则置空。,"s=TIME_FILTER(bars,14:30,15:00); IF(AND(HAS_LIMIT_PRICE,ANY(OR(EQ(s.close,high_limit),EQ(s.close,low_limit)))),NaN,SUB(DIV(LAST_VALID(s.close),FIRST_VALID(s.open)),1))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。bars表示行情记录；TIME_FILTER包含两端；FIRST_VALID/LAST_VALID跳过NaN；EQ/OR/AND/ANY为等于/或/且/任一成立；HAS_LIMIT_PRICE表示传入涨跌停表。只检查分钟收盘价，不检查high/low；缺失的涨跌停价格不视为触及；时段无记录不输出行。"
Last50BarWeightedReturn,取日内后50根K线，分钟收益率乘该分钟成交量占全天成交量的比例后求和。,"T=SUM(volume,min_count=1); s=DROPNA(TAIL(r,50)); IF(OR(EMPTY(s),ISNA(T),LE(T,0)),NaN,SUM(MUL(s,DIV(ALIGN(volume,s),T))))","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。r=BAR_RETURN(close,open)：首条为close/open-1，其余为close/SHIFT(close,1)-1；SHIFT(x,k)取当前行之前k行，负k取之后的行；不跨日、不填充缺失值。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。HEAD/TAIL按位置取前/后N条，不足N条取全部；ALIGN(volume,s)按s的索引取成交量；EMPTY/ISNA/LE/OR为空/缺失/小于等于/或。分母为全天成交量，不是所选时段成交量；均值按有效乘积数量计算；求和时若乘积全NaN则为0。"
LastThreeMinuteVolume,14:57至15:00时段成交量之和。,"SUM(TIME_FILTER(volume,14:57,15:00),min_count=1)","按单只股票、单个交易日计算，分钟记录按时间升序排列；公式为描述性算子表达式。ADD/SUB/MUL/DIV/POW分别为加/减/乘/除/幂，SQRT为平方根，ABS为绝对值；标量与序列运算逐项进行。MEAN/SUM/PROD为均值/求和/连乘并跳过NaN；SUM默认空集或全NaN为0，SUM(x,min_count=1)无有效值为NaN；FILTER按条件筛选，DROPNA删除NaN，CLEAN将正负无穷置NaN；IF按条件选值，NaN表示缺失。TIME_FILTER包含两端，因此名称中的分钟数不代表固定记录数；有ticks参数时用ticks，否则用minutes，当前构造器使用minutes；EQ表示等于。窗口无记录或成交量全NaN返回NaN。"
